No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
82,CT,27,24,S1,SMA,Honorer,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
83,CG,25,27,SMA,SD,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
84,CT,44,54,SD,SD,Buruh Bangunan,Penjual,20,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
85,CG,18,23,SMP,SMK,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
86,CG,31,33,SD,SMP,Karyawan,Supir,14,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
87,CT,42,32,SMP,SD,PNS,Buruh Harian,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
88,CG,34,40,SD,SD,t.a,Petani,14,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
89,CG,40,44,D4,SLTA,Wiraswasta,Wiraswasta,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
90,CG,20,22,SMP,SD,t.a,Penjual,4,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
91,CT,27,26,SMK,SMK,Karyawan,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
92,CT,35,22,SMA,SMA,Karyawan,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
93,CG,55,80,SD,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
94,CG,33,34,SMA,SMA,t.a,Karyawan,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
95,CG,35,36,SD,SMP,t.a,Buruh,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
96,CG,31,34,D3,SMA,Karyawan,t.a,7,2,Hukum Penjara,Cerai,,,,,
97,CT,53,47,SMA,SMA,Kontraktor,t.a,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
98,CG,36,36,S1,SMK,Honorer,Buruh Harian,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
99,CT,28,27,SMA,SMP,t.a,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
100,CG,35,37,SMP,SMA,Penjual,Petani,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
101,CG,33,31,SMP,SMA,t.a,t.a,11,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
102,CG,31,35,SD,SD,Karyawan,Petani,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
103,CG,40,36,SD,SD,t.a,t.a,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
104,CG,28,33,SMA,SD,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
105,CG,38,40,SD,SD,t.a,Honorer,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
