No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
3768,CG,20,32,SMA,SD,t.a,Petani,1,1,Meninggalkan Salah Satu Pihak,Cerai
3769,CG,36,42,S1,SMA,Honorer,TNI,18,3,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3770,CG,28,30,SMA,SMA,t.a,Buruh Harian,5,1,Perselisihan dan pertengkaran terus menerus,Cerai
3771,CG,22,29,SD,SD,t.a,Buruh Bangunan,5,2,Perselisihan dan pertengkaran terus menerus,Cerai
3772,CG,29,40,SMP,SD,t.a,Buruh Harian,15,0,Perselisihan dan pertengkaran terus menerus,Cerai
3773,CT,35,31,SMP,SMA,Buruh Pabrik,t.a,10,0,Meninggalkan Salah Satu Pihak,Cerai
3774,CG,30,30,SD,SD,t.a,Petani,10,0,Meninggalkan Salah Satu Pihak,Cerai
3775,CT,50,54,SD,SD,Ojek Motor,t.a,31,4,Perselisihan dan pertengkaran terus menerus,Cerai
3776,CG,37,40,SD,SD,t.a,Nelayan,19,2,Perselisihan dan pertengkaran terus menerus,Cerai
3777,CG,37,33,SD,SD,Karyawan,Nelayan,5,1,Meninggalkan Salah Satu Pihak,Cerai
3778,CG,44,54,SMA,SMP,Pembuat Kue,Petani,12,0,Meninggalkan Salah Satu Pihak,Cerai
3779,CG,21,22,SMP,SD,t.a,Penjual Ikan,2,1,Meninggalkan Salah Satu Pihak,Cerai
3780,CG,21,29,SMA,SMA,t.a,Anak Buah Kapal,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3781,CG,42,45,SMA,SD,t.a,Supir,11,1,Perselisihan dan pertengkaran terus menerus,Cerai
3782,CG,40,45,SD,SD,t.a,Buruh Bangunan,22,3,Perselisihan dan pertengkaran terus menerus,Cerai
3783,CG,21,23,SMA,SMK,t.a,t.a,4,1,Meninggalkan Salah Satu Pihak,Cerai
3784,CG,41,48,SD,SD,Karyawan,Supir,22,2,Meninggalkan Salah Satu Pihak,Cerai
3785,CG,29,30,D3,SMA,Honorer,Karyawan,5,1,Meninggalkan Salah Satu Pihak,Cerai
3786,CT,32,25,SD,SMA,Karyawan,Security,9,2,Ekonomi,Cerai
3787,CT,32,37,D3,S1,t.a,t.a,4,1,Perselisihan dan pertengkaran terus menerus,Cerai
3788,CG,26,38,SMP,SMA,t.a,Honorer,6,2,Perselisihan dan pertengkaran terus menerus,Cerai
