No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
1854,CG,29,23,SMP,SMA,Pengusaha Pemuat Alat,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1855,CG,39,47,SMU,S1,Pengusaha Penginapan,Pengusaha Penginapan,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1856,CG,23,33,SD,SD,t.a,Nelayan,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1857,CG,30,33,D3,SMA,Honorer,TNI,8,1,Meninggalkan Salah Satu Pihak,Cerai
1858,CT,41,34,SMA,SMP,Pedagang,t.a,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1859,CT,30,28,SMA,SMA,Karyawan,Karyawan,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1860,CG,20,25,SD,SD,t.a,Tukang Bangunan,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1861,CG,21,24,SD,SD,t.a,Petani,4,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1862,CG,26,28,SMP,SMA,t.a,Helper,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1863,CG,31,38,SD,SMA,t.a,Petani,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1864,CG,37,37,SD,SD,Karyawan RM,Tukang Batu,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1865,CG,22,24,SMP,SMA,t.a,Wiraswasta,3,1,Meninggalkan Salah Satu Pihak,Cerai
1866,CG,34,32,S1,D3,Wiraswasta,PNS,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1867,CG,27,35,SD,SD,t.a,Buruh Harian,4,1,Meninggalkan Salah Satu Pihak,Cerai
1868,CG,20,22,SMA,SMA,Penjual Kosmetik,Nelayan,2,0,Meninggalkan Salah Satu Pihak,Cerai
1869,CG,26,33,SMA,SMA,t.a,Karyawan PT,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1870,CT,30,31,SD,SMA,Penjual Bakso,t.a,9,1,Meninggalkan Salah Satu Pihak,Cerai
1871,CT,27,27,S1,S1,Karyawan,Karyawan,1 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1872,CG,50,32,SMK,SD,Karyawan Mall,Buruh Harian,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1873,CG,25,24,S1,SMA,t.a,Petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1874,CG,39,30,SD,SD,t.a,Petani,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1875,CG,38,36,SMA,SD,t.a,Buruh Harian,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1876,CG,25,40,SD,SMA,t.a,Supir,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1877,CT,37,31,SD,SD,Petani,t.a,13,2,Meninggalkan Salah Satu Pihak,Cerai
1878,CG,45,44,SMA,SD,t.a,Penjual Ayam Potong,23,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1879,CG,25,26,S1,SMA,Karyawan Bank,Karyawan Toyota,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1880,CG,35,38,SMA,SMA,t.a,t.a,8,1,Meninggalkan Salah Satu Pihak,Cerai
1881,CG,40,40,SMA,SMP,t.a,Sales,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1882,CG,20,21,SMA,SMP,t.a,Penjual Sayur,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1883,CT,44,39,S1,S2,Pelayaran,PNS,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1884,CG,22,28,SMA,SMA,Karyawan Café,Karyawan Hotel,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1885,CG,32,33,SMP,SMP,t.a,Penjual Ikan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1886,CG,19,39,SMP,SD,t.a,Buruh Harian,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1887,CG,27,27,S1,S1,Karyawan,Karyawan,2 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1888,CG,38,42,SMA,SMA,Karyawan PT,Supir,18,4,Meninggalkan Salah Satu Pihak,Cerai
1889,CG,21,32,SMP,SMA,Karyawan PT,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1890,CG,23,26,SMP,SMP,t.a,Buruh Bangunan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1891,CT,28,25,SMK,SMP,Buruh Harian,t.a,9,2,Meninggalkan Salah Satu Pihak,Cerai
1892,CT,43,43,S1,SD,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1893,CG,20,25,SMP,SD,t.a,Supir,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1894,CG,37,40,SMA,SMA,t.a,Karyawan Bank,20,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1895,CG,27,36,SMA,SMA,t.a,Supir,4 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1896,CT,27,34,SD,SD,Buruh Bangunan,Karyawan PT,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1897,CG,45,54,SMA,S1,t.a,t.a,23,2,Meninggalkan Salah Satu Pihak,Cerai
1898,CG,42,44,SD,SD,t.a,Supir,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1899,CG,42,38,SMP,SD,Penjual Nasi Kuning,Pengelola Empang,14,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1900,CG,30,32,S1,SMA,t.a,Pengobatan Herbal,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1901,CG,23,28,SMA,SMA,Penjual Kosmetik,Supir,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1902,CG,24,28,SMP,SMA,Karyawan PT,Petani,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1903,CG,40,47,SD,SMP,t.a,Petani,16,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1904,CG,29,35,S1,S1,Honorer,Honorer,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1905,CG,35,36,SD,SMP,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1906,CG,25,36,SMA,SMA,t.a,Karyawan RM,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1907,CG,26,29,SMK,SMA,Penjual Online,Karyawan Toko Roti,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1908,CG,34,33,SMU,S1,Karyawan Mall,Karyawan,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1909,CG,35,42,SMA,SMA,Su,PNS,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1910,CG,27,40,SD,SD,t.a,Buruh Harian,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1911,CT,26,28,SD,SMP,Karyawan PT,Karyawan PT,5,2,Meninggalkan Salah Satu Pihak,Cerai
1912,CG,33,52,SMA,S1,Penjual Pakaian,Pendampingan Desa,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1913,CG,33,31,SMA,SMA,t.a,Sewa Tenda Pengantin,11,3,Meninggalkan Salah Satu Pihak,Cerai
1914,CG,21,25,SD,SD,t.a,Buruh Harian,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1915,CG,28,32,SMP,SMA,t.a,Satpol PP,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1916,CT,24,25,SMA,SMA,Karyawan PT,Karyawan PT,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1917,CG,25,34,SMA,SMA,t.a,Supir,2,1,Meninggalkan Salah Satu Pihak,Cerai
1918,CG,36,35,SD,SMP,t.a,Penjual Sayur,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1919,CG,33,36,t.a,SD,t.a,Petani,14,2,KDRT,Cerai
1920,CG,29,29,SMA,SMA,t.a,Karyawan Hotel,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1921,CG,28,34,SMP,SD,t.a,Supir,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1922,CG,38,44,SMP,SD,Karyawan,Penjual Bambu,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1923,CG,31,38,SMP,SMA,t.a,Buruh Bangunan,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1924,CG,24,27,SMA,SMA,Karyawan PT,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1925,CT,29,27,SMP,SMA,Supir,t.a,8,0,Kawin Paksa,Cerai
1926,CG,21,34,SMA,SMA,t.a,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1927,CT,36,24,SMP,SD,Karyawan PT,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1928,CG,26,32,SMA,SD,t.a,t.a,1,1,Meninggalkan Salah Satu Pihak,Cerai
1929,CG,41,63,t.a,t.a,t.a,Pengelola Empang,1,0,Meninggalkan Salah Satu Pihak,Cerai
1930,CG,19,25,SD,SMA,Penjual Minuman,Buruh Bangunan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1931,CT,54,53,SMA,SMA,Jual Beli Tanah,Penjahit Pakaian,32,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1932,CG,23,27,SMA,SMK,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1933,CG,20,31,SD,SD,t.a,Supir,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1934,CT,31,30,SMK,D3,Honorer,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1935,CG,44,39,SMA,SMP,t.a,t.a,12,2,Judi,Cerai
1936,CG,19,28,SD,SD,t.a,Buruh Bangunan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1937,CG,32,33,SMP,SMP,t.a,Penjual Ikan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1938,CG,15,30,SMA,SMA,t.a,Karyawan PT,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1939,CG,23,39,SMA,SD,t.a,Nelayan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1940,CG,23,32,SMP,SMA,Karyawan PT,Buruh Harian,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1941,CG,31,31,SMP,SMA,t.a,Bisnis Campuran,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1942,CT,53,36,SMA,D3,Tehnisi Alkes,PNS,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1943,CG,36,41,SMA,SD,Penjual Batagor,Penjual Batagor,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1944,CG,40,42,SMA,SMA,Penjual Pakaian,Pelayaran,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1945,CT,28,21,S1,SMA,Honorer,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1946,CG,22,27,SMP,SMA,t.a,Karyawan PT,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1947,CG,25,34,SD,SD,t.a,Buruh Harian,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1948,CG,29,26,S1,SMA,t.a,Polri,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1949,CT,43,42,S1,D3,Staf Univeritas,PNS,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1950,CG,34,40,SD,SD,Karyawan,Buruh Bangunan,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1951,CT,27,27,S1,S1,Karyawan,Karyawan,3 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1952,CG,30,26,S1,SMK,t.a,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1953,CT,30,24,SMA,SMA,t.a,Karyawan PT,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1954,CT,41,38,SMA,SMA,Buruh Bangunan,t.a,18,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1955,CT,34,39,SD,SD,Buruh Harian,t.a,14,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1956,CG,31,35,S1,SMA,Honorer,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1957,CG,23,26,SMP,SMP,t.a,Buruh Bangunan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1958,CG,21,28,SMA,SD,Karyawan PT,Penjual Sate,2,0,Meninggalkan Salah Satu Pihak,Cerai
1959,CG,26,33,SMA,S1,t.a,Honorer,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1960,CG,23,28,S1,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1961,CG,31,28,S1,SMP,Honorer,t.a,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1962,CG,34,34,SMP,SMP,t.a,Buruh Bangunan,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1963,CG,45,51,SMP,SMP,Penjual Keset,t.a,23,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1964,CG,27,34,SD,SD,Karyawan,Petani,9,0,Ekonomi,Cerai
1965,CT,39,29,SD,SD,Penjual Ikan,t.a,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1966,CG,33,37,SD,SD,t.a,Petani,9,1,Meninggalkan Salah Satu Pihak,Cerai
1967,CG,40,43,S1,STM,Honorer,Bengkel Las,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1968,CG,25,24,SMA,SMA,t.a,Sales,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1969,CG,28,32,SD,SMK,t.a,Buruh Bangunan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1970,CG,48,40,D3,D3,Pemilik Warkop,t.a,25,2,Ekonomi,Cerai
1971,CT,39,35,SMK,SMA,Buruh Harian,t.a,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1972,CG,29,31,S1,SMA,t.a,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1973,CG,43,55,SD,SMA,t.a,Petani,22,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1974,CG,40,44,SMP,SMA,t.a,Karyawan PT,17,3,Meninggalkan Salah Satu Pihak,Cerai
1975,CG,37,37,SMA,D4,Penjual Barang Campuran,PNS,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1976,CT,22,22,SMA,SMP,Buruh Harian,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1977,CT,35,30,D3,SMA,Karyawan PT,t.a,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1978,CT,28,30,S1,SMA,Pengawas Proyek,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai
1979,CG,35,35,SMP,SMK,TNI,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1980,CG,35,38,SD,SMP,t.a,t.a,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1981,CT,44,39,SMA,SMA,PNS,PNS,12,2,Meninggalkan Salah Satu Pihak,Cerai
1982,CG,26,29,SMA,SMP,Karyawan Mall,Supir,9,3,Meninggalkan Salah Satu Pihak,Cerai
1983,CT,37,39,S1,SMA,Karyawan PT,PNS,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1984,CG,20,20,SMA,SMA,Karyawan PT,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1985,CT,39,38,S1,SD,Honorer,t.a,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1986,CG,26,29,SD,SMA,Karyawan,Karyawan PT,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1987,CG,27,33,SD,SMP,Karyawan PT,Buruh Harian,5,0,Meninggalkan Salah Satu Pihak,Cerai
1988,CG,24,38,SMP,SD,t.a,Nelayan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1989,CT,49,33,SMA,SD,Karyawan,t.a,11,1,Meninggalkan Salah Satu Pihak,Cerai
1990,CT,47,45,D3,S1,t.a,Honorer,23,3,Meninggalkan Salah Satu Pihak,Cerai
1991,CT,39,46,SD,SD,Buruh Harian,Penjual Barang Campuran,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1992,CG,21,26,SMA,SMA,t.a,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1993,CG,26,27,SMA,SMA,t.a,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1994,CG,35,42,S1,t.a,Wiraswasta,TNI,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1995,CT,63,60,D3,SMK,Pensiunan,t.a,36,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1996,CG,45,48,SMP,SMA,t.a,Karyawan,23,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1997,CG,28,25,S1,SMA,Perias Pengantin,Karyawan PT,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1998,CG,38,31,SMA,SD,Karyawan,Buruh Harian,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1999,CG,24,31,SMA,SMA,t.a,Penjual Alat-alat Kendaraan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2000,CT,26,25,SD,SD,Buruh Harian,t.a,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2001,CG,24,31,SMA,SMP,Karyawan RM,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2002,CG,32,42,SD,SMP,t.a,Penjual Ayam Potong,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2003,CG,38,39,SMP,SD,t.a,Nelayan,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2004,CG,27,30,SD,SD,t.a,Petani,9,0,Meninggalkan Salah Satu Pihak,Cerai
2005,CG,47,46,SMA,SMA,t.a,PNS,14,1,Meninggalkan Salah Satu Pihak,Cerai
2006,CG,18,22,SMP,SD,t.a,Buruh Harian,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2007,CG,24,27,SMK,S1,Karyawan PT,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2008,CG,45,50,SD,SMA,Penjual Pakaian,t.a,28,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2009,CG,32,43,SMP,SMA,Karyawan PT,Karyawan PT,6,0,Meninggalkan Salah Satu Pihak,Cerai
2010,CG,28,23,SMP,SMK,t.a,Security,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2011,CG,54,55,SMP,SMP,t.a,t.a,35,3,Meninggalkan Salah Satu Pihak,Cerai
2012,CG,27,24,SMA,SMA,t.a,Security,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2013,CT,43,131,S1,SMA,PNS,PNS,16,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2014,CG,30,42,SMA,SMA,t.a,t.a,3,0,Meninggalkan Salah Satu Pihak,Cerai
2015,CG,28,33,Sd,SD,t.a,Nelayan,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2016,CG,24,25,SMA,SD,t.a,Petani,3,1,Meninggalkan Salah Satu Pihak,Cerai
2017,CT,58,51,SD,SD,Penjual Barang Campuran,Penjual Makanan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2018,CG,27,31,SMA,S1,Karyawan PT,Honorer,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2019,CG,52,52,SMP,SMA,t.a,Polsek,33,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2020,CG,25,41,SD,SD,t.a,Honorer,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2021,CG,42,46,SMP,STM,t.a,Supir,21,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2022,CG,24,23,SMK,SMA,Karyawan Toko,t.a,3,1,Meninggalkan Salah Satu Pihak,Cerai
2023,CG,20,25,SMA,SMP,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2024,CG,31,33,SMP,SMA,Karyawan PT,Honorer,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2025,CG,26,30,S1,SMP,Honorer,Buruh Bangunan,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2026,CT,43,40,SD,SMP,Petani,t.a,21,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2027,CG,25,31,S1,S1,Karyawan CV,PNS,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2028,CG,30,34,SMA,zsd,t.a,Supir,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2029,CG,27,36,SMA,SMA,t.a,Supir,6  bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2030,CG,33,37,SMA,SMA,t.a,t.a,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2031,CT,58,37,SMA,SD,Pensiunan,t.a,8,0,Meninggalkan Salah Satu Pihak,Cerai
2032,CT,37,39,SD,SMP,Tatarias Pengantin,t.a,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2033,CT,25,26,SD,SMA,Supir,t.a,8 Bulan,0,Kawin Paksa,Cerai
2034,CG,29,39,SMA,S1,Honorer,PNS,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2035,CG,38,37,SMP,SMP,t.a,Petani,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2036,CG,25,29,SMA,SMA,Pemilik Butik,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2037,CG,45,46,SD,SD,Penjual Tahu Tempe,Penjual Tahu Tempe,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2038,CG,23,37,SMA,SD,Karyawan RM,Karyawan PT,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2039,CT,25,22,SMA,SMA,Security,t.a,3,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2040,CG,22,28,SD,SD,t.a,Petani,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2041,CT,36,31,SMA,SMA,Karyawan CV,t.a,9,2,Meninggalkan Salah Satu Pihak,Cerai
2042,CG,28,37,SD,SD,t.a,Buruh Harian,12,2,Meninggalkan Salah Satu Pihak,Cerai
2043,CG,43,56,SMA,SD,Penjahit Pakaian,Petani,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2044,CG,51,43,S1,D3,PNS,Kontraktor,13,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2045,CG,32,37,SD,SD,Karyawan Toko,Petani,26,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2046,CG,26,29,SMP,SMA,t.a,Penjual Ikan,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2047,CG,23,36,SMA,SD,t.a,Petani,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2048,CG,29,25,SMP,SMP,Karyawan PT,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2049,CG,22,23,S1,SMA,t.a,Buruh Harian,3,1,Meninggalkan Salah Satu Pihak,Cerai
2050,CG,23,22,SMP,SD,Karyawan CV,Buruh Harian,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2051,CG,40,40,SD,SMP,t.a,Buruh Harian,21,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2052,CT,44,20,STM,SMA,Karyawan,t.a,2,0,Ekonomi,Cerai
2053,CG,35,42,D2,SMU,Karyawan,TNI,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2054,CT,56,49,SMP,SD,Petani,t.a,27,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2055,CG,30,30,SMA,SMP,Karyawan PT,Buruh Harian,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2056,CG,45,62,SD,SD,t.a,Petani,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2057,CT,29,30,SD,SD,Buruh Harian,t.a,7,2,Ekonomi,Cerai
2058,CG,29,29,SD,SD,t.a,Penjual Ikan,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2059,CT,27,21,S1,SMA,Honorer,t.a,3,0,Meninggalkan Salah Satu Pihak,Cerai
2060,CG,26,27,SMA,SMA,t.a,Buruh Kontainer,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2061,CG,23,21,SMA,SMA,t.a,t.a,3,1,Meninggalkan Salah Satu Pihak,Cerai
2062,CG,29,35,SMP,Sd,t.a,Buruh Bangunan,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2063,CG,27,25,SMA,SMA,t.a,Penjahit Pakaian,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2064,CG,28,28,S1,SMK,t.a,Karyawan,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2065,CT,39,44,SMA,S1,Karyawan,t.a,12,2,Meninggalkan Salah Satu Pihak,Cerai
2066,CG,21,24,SMA,SMA,Penjahit Pakaian,Penjual Sayur,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2067,CT,34,27,SMA,SMA,Karyawan Hotel,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
2068,CG,29,30,SD,SD,ART,Petani,6,1,Meninggalkan Salah Satu Pihak,Cerai
2069,CG,31,30,SMK,SD,Honorer,Petani,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2070,CG,27,30,D#,SMA,Karyawan,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2071,CG,39,39,SD,SD,Karyawan PT,Buruh Bangunan,18,3,Meninggalkan Salah Satu Pihak,Cerai
2072,CT,39,31,SMK,SMA,Security,Karyawan Toko Roti,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2073,CG,25,35,SMP,SMA,t.a,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2074,CG,20,44,SD,SD,t.a,Buruh Harian,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2075,CG,52,68,SMA,S1,t.a,t.a,35,6,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2076,CT,31,29,SMA,SMA,Karyawan PT,t.a,6,0,Meninggalkan Salah Satu Pihak,Cerai
2077,CG,92,23,SMA,SMP,t.a,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2078,CG,49,48,SMA,SMA,t.a,Petani,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2079,CG,33,37,SD,SD,t.a,Buruh Harian,10,1,Meninggalkan Salah Satu Pihak,Cerai
2080,CT,33,47,SMA,SD,Security,t.a,10,1,Ekonomi,Cerai
